epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.22229,2.5981,3.60856,2.70596,0.00333,1,0.995,0.54725,0.85985,2.70394,1.42134,0,0,0
2,1.56557,3.15638,4.32493,3.0451,0.00333,1,0.995,0.398,0.87548,2.71368,1.43282,1.9934e-05,1.9934e-05,1.9934e-05
3,1.82433,2.7632,5.21042,2.76947,0.00333,1,0.995,0.4975,0.88305,2.7029,1.45169,3.9736e-05,3.9736e-05,3.9736e-05
4,2.11029,2.65779,4.62101,3.05926,0.00333,1,0.995,0.398,0.89736,2.70145,1.46609,5.9406e-05,5.9406e-05,5.9406e-05
5,2.46861,2.85939,3.53319,2.82426,0.00333,1,0.995,0.41458,0.90464,2.6885,1.48291,7.8944e-05,7.8944e-05,7.8944e-05
6,2.88917,3.19496,3.33857,2.97543,0.00333,1,0.995,0.398,0.87874,2.68976,1.46807,9.835e-05,9.835e-05,9.835e-05
7,3.40674,1.21644,4.08859,1.50866,0.00333,1,0.995,0.5174,0.82903,2.72016,1.42684,0.000117624,0.000117624,0.000117624
8,3.8856,2.9027,5.60439,2.70652,0.00333,1,0.995,0.597,0.83746,2.7364,1.40116,0.000136766,0.000136766,0.000136766
9,4.42548,2.37889,5.382,2.85958,0.00333,1,0.995,0.597,0.83746,2.7364,1.40116,0.000155776,0.000155776,0.000155776
10,4.97827,1.44093,4.32506,1.88682,0.00333,1,0.995,0.597,0.89067,2.70348,1.45757,0.000174654,0.000174654,0.000174654
11,5.46512,0.33901,2.89088,1.12983,0.00333,1,0.995,0.597,0.89067,2.70348,1.45757,0.0001934,0.0001934,0.0001934
12,5.93215,2.16889,3.40259,2.31091,0.00333,1,0.995,0.34272,1.02868,2.74128,1.56341,0.000212014,0.000212014,0.000212014
13,6.34455,1.68528,3.66875,2.22301,0.00333,1,0.995,0.34272,1.02868,2.74128,1.56341,0.000230496,0.000230496,0.000230496
14,6.75337,2.53595,3.41887,2.49873,0.00333,1,0.12437,0.07342,1.20793,2.8108,1.76009,0.000248846,0.000248846,0.000248846
15,7.09386,1.41378,3.17206,1.73879,0.00333,1,0.12437,0.07342,1.20793,2.8108,1.76009,0.000267064,0.000267064,0.000267064
16,7.47014,1.03578,3.43611,1.33586,0.00333,1,0.995,0.4975,1.77253,2.99076,2.80245,0.00028515,0.00028515,0.00028515
17,7.93854,0.95163,4.1874,2.00673,0.00333,1,0.995,0.4975,1.77253,2.99076,2.80245,0.000303104,0.000303104,0.000303104
18,8.31763,1.61476,4.2711,2.50708,0.00333,1,0.995,0.4975,1.64943,2.98098,2.76012,0.000320926,0.000320926,0.000320926
19,8.66714,1.59179,2.83758,2.02647,0.00333,1,0.995,0.4975,1.64943,2.98098,2.76012,0.000338616,0.000338616,0.000338616
20,9.04336,1.72367,3.3574,2.11779,0.00333,1,0.33167,0.22387,1.70391,3.11249,2.51222,0.000356174,0.000356174,0.000356174
21,9.3924,1.78396,3.51558,2.06345,0.00333,1,0.33167,0.22387,1.70391,3.11249,2.51222,0.0003736,0.0003736,0.0003736
22,9.79859,0.84443,3.33635,1.42286,0.00333,1,0.14214,0.04264,2.96112,3.52925,5.33011,0.000390894,0.000390894,0.000390894
23,10.1152,0.77594,3.13603,1.37476,0.00333,1,0.14214,0.04264,2.96112,3.52925,5.33011,0.000408056,0.000408056,0.000408056
24,10.4339,0.41883,2.45572,1.11778,0.00333,1,0.14214,0.04264,2.96112,3.52925,5.33011,0.000425086,0.000425086,0.000425086
25,10.8032,1.32985,3.26227,1.43885,0.00333,1,0.04146,0.01,3.26451,3.59694,5.90426,0.000441984,0.000441984,0.000441984
26,11.1041,1.04779,3.08306,1.25756,0.00333,1,0.04146,0.01,3.26451,3.59694,5.90426,0.00045875,0.00045875,0.00045875
27,11.4205,1.13681,3.02655,1.52771,0.00333,1,0.04146,0.01,3.26451,3.59694,5.90426,0.000475384,0.000475384,0.000475384
28,11.7572,1.12147,2.86625,1.43616,0.00333,1,0.995,0.2985,2.64974,3.31193,3.55558,0.000491886,0.000491886,0.000491886
29,12.133,0.65094,2.72254,1.06246,0.00333,1,0.995,0.2985,2.64974,3.31193,3.55558,0.000508256,0.000508256,0.000508256
30,12.5396,1.13709,3.43614,1.59836,0.00333,1,0.995,0.2985,2.64974,3.31193,3.55558,0.000524494,0.000524494,0.000524494
31,12.9138,0.9119,2.53179,1.39437,0.00333,1,0.03015,0.00905,3.20929,3.32282,4.66881,0.0005406,0.0005406,0.0005406
32,13.2427,1.35551,2.7071,1.55593,0.00333,1,0.03015,0.00905,3.20929,3.32282,4.66881,0.000556574,0.000556574,0.000556574
33,13.5739,1.29415,2.88801,1.75707,0.00333,1,0.03015,0.00905,3.20929,3.32282,4.66881,0.000572416,0.000572416,0.000572416
34,13.9316,1.18288,2.42241,1.40231,0.00333,1,0.01442,0.00288,3.18157,4.58364,4.63093,0.000588126,0.000588126,0.000588126
35,14.2716,0.92106,3.2603,1.39669,0.00333,1,0.01442,0.00288,3.18157,4.58364,4.63093,0.000603704,0.000603704,0.000603704
36,14.602,0.7323,3.55534,1.18345,0.00333,1,0.01442,0.00288,3.18157,4.58364,4.63093,0.00061915,0.00061915,0.00061915
37,14.9465,1.22397,2.89857,1.61757,0.00333,1,0.01442,0.00288,3.18157,4.58364,4.63093,0.000634464,0.000634464,0.000634464
38,15.2967,0.65458,2.41199,0.9654,0.00333,1,0.01746,0.00698,2.94443,4.03395,4.42491,0.000649646,0.000649646,0.000649646
39,15.6996,0.60407,2.11376,0.72054,0.00333,1,0.01746,0.00698,2.94443,4.03395,4.42491,0.000664696,0.000664696,0.000664696
40,16.0269,2.16504,2.48953,2.04881,0.00333,1,0.01746,0.00698,2.94443,4.03395,4.42491,0.000679614,0.000679614,0.000679614
41,16.3654,1.44815,2.78977,1.31946,0.00333,1,0.01746,0.00698,2.94443,4.03395,4.42491,0.0006944,0.0006944,0.0006944
